plot_ID,mean_5yr,sd_5yr,sum_5yr,n_obs_5yr,mean_10yr,sd_10yr,sum_10yr,n_obs_10yr
2266,774.8970306,84.38770275,3874.485153,5,840.1405869,93.73489982,8401.405869,10
2267,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2268,774.8970306,84.38770275,3874.485153,5,840.1405869,93.73489982,8401.405869,10
2269,774.8970306,84.38770275,3874.485153,5,840.1405869,93.73489982,8401.405869,10
2270,774.8970306,84.38770275,3874.485153,5,840.1405869,93.73489982,8401.405869,10
2271,774.8970306,84.38770275,3874.485153,5,840.1405869,93.73489982,8401.405869,10
2272,774.8970306,84.38770275,3874.485153,5,840.1405869,93.73489982,8401.405869,10
2273,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2274,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2275,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2276,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2277,774.8970306,84.38770275,3874.485153,5,840.1405869,93.73489982,8401.405869,10
2278,774.8970306,84.38770275,3874.485153,5,840.1405869,93.73489982,8401.405869,10
2279,733.9362427,93.42141507,3669.681213,5,813.2546898,108.9406596,8132.546898,10
2280,733.9362427,93.42141507,3669.681213,5,813.2546898,108.9406596,8132.546898,10
2281,733.9362427,93.42141507,3669.681213,5,813.2546898,108.9406596,8132.546898,10
2282,733.9362427,93.42141507,3669.681213,5,813.2546898,108.9406596,8132.546898,10
2283,733.9362427,93.42141507,3669.681213,5,813.2546898,108.9406596,8132.546898,10
2284,468.7903488,56.1464124,2343.951744,5,501.4054436,59.20720474,5014.054436,10
2285,733.9362427,93.42141507,3669.681213,5,813.2546898,108.9406596,8132.546898,10
2286,733.9362427,93.42141507,3669.681213,5,813.2546898,108.9406596,8132.546898,10
2287,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2288,733.9362427,93.42141507,3669.681213,5,813.2546898,108.9406596,8132.546898,10
2289,774.8970306,84.38770275,3874.485153,5,840.1405869,93.73489982,8401.405869,10
2290,733.9362427,93.42141507,3669.681213,5,813.2546898,108.9406596,8132.546898,10
2291,846.7318817,89.41216698,4233.659409,5,915.0239197,100.5913072,9150.239197,10
2292,846.7318817,89.41216698,4233.659409,5,915.0239197,100.5913072,9150.239197,10
2293,846.7318817,89.41216698,4233.659409,5,915.0239197,100.5913072,9150.239197,10
2294,846.7318817,89.41216698,4233.659409,5,915.0239197,100.5913072,9150.239197,10
2295,388.7265045,12.93250346,1943.632523,5,395.9247391,31.9591976,3959.247391,10
2296,388.7265045,12.93250346,1943.632523,5,395.9247391,31.9591976,3959.247391,10
2297,388.7265045,12.93250346,1943.632523,5,395.9247391,31.9591976,3959.247391,10
2298,500.9039589,16.57951824,2504.519794,5,497.2941017,32.49844966,4972.941017,10
2299,500.9039589,16.57951824,2504.519794,5,497.2941017,32.49844966,4972.941017,10
2300,500.9039589,16.57951824,2504.519794,5,497.2941017,32.49844966,4972.941017,10
2301,553.3505524,19.6478891,2766.752762,5,571.8225861,43.37946707,5718.225861,10
2302,500.9039589,16.57951824,2504.519794,5,497.2941017,32.49844966,4972.941017,10
2303,511.7312073,38.60451296,2558.656036,5,564.4583458,74.4236735,5644.583458,10
2304,500.9039589,16.57951824,2504.519794,5,497.2941017,32.49844966,4972.941017,10
2305,500.9039589,16.57951824,2504.519794,5,497.2941017,32.49844966,4972.941017,10
2306,511.7312073,38.60451296,2558.656036,5,564.4583458,74.4236735,5644.583458,10
2307,500.9039589,16.57951824,2504.519794,5,497.2941017,32.49844966,4972.941017,10
2308,553.3505524,19.6478891,2766.752762,5,571.8225861,43.37946707,5718.225861,10
2309,503.1271038,59.17690832,2515.635519,5,560.8445456,86.34332692,5608.445456,10
2310,718.8393463,83.89931639,3594.196732,5,773.4030457,104.9918438,7734.030457,10
2311,511.7312073,38.60451296,2558.656036,5,564.4583458,74.4236735,5644.583458,10
